ചോദ്യം,ഉത്തരം
ഫെർഡിനാൻഡ് ജോസഫ് ലാമോത്ത് ഏത് പേരിലാണ് അവതരിപ്പിച്ചത്?,ജെല്ലി റോൾ മോർട്ടൺ
"ടു ലാർജ് ഫോമുകൾ', നിരവധി ചാരിയിരിക്കുന്ന രൂപങ്ങൾ, അമ്മയും കുഞ്ഞും എന്നൊക്കെയുള്ള സംഗ്രഹങ്ങൾ എന്നിവയുൾപ്പെടെയുള്ള വലിയ പൊതു വെങ്കല സൃഷ്ടികൾക്ക് പ്രശസ്തനായ ഇംഗ്ലീഷ് കലാകാരന്റെ/ശിൽപിയുടെ പേര്?",ഹെൻറി മൂർ
ഒരു ത്രികോണത്തിന്റെ ഏറ്റവും വലിയ വശത്തിന് എന്ത് പേര് നൽകുന്നു?,ഹൈപോട്ടന്യൂസ്
"ഒരു കോമിക് പുസ്തക കഥാപാത്രം കൂടിയായ, ഒരു ബ്രിട്ടീഷ് സൈനിക ഉദ്യോഗസ്ഥനെ സേവിക്കാൻ നിയോഗിക്കപ്പെട്ട ഒരു ഓർഡർലി എന്താണ്?",ബാറ്റ്മാൻ
"ബക്കറ്റ്, വിഷം ഐവി, സിൻസിനാറ്റി, പമ്പ്കിൻ എന്നിവയെല്ലാം ഏതു കായിക ഇനത്തിലോ ഗെയിമിലോ ഉപയോഗിക്കുന്ന പദങ്ങളാണ്?",ടെൻ പിൻ ബൗളിംഗ്
ല സൂപ്പർബാ എന്നറിയപ്പെടുന്ന ലിഗുറിയയുടെ തലസ്ഥാനം ഏത് തുറമുഖമാണ്?,ജനോവ
"വോംബ്ലിലെ ആര് , ഒരു തെക്കേ അമേരിക്കൻ നദിയുമായി പേര് പങ്കുവെക്കുന്നു?",ഒറിനോക്കോ
പെട്രോളജി എന്തിനെക്കുറിച്ചുള്ള പഠനമാണ്?,പാറകൾ
"ജ്യാമിതിയിൽ, ആരത്തിന് തുല്യമായ നീളമുള്ള ഒരു ആർക്ക് ഒരു വൃത്തത്തിന്റെ മധ്യഭാഗത്ത് ഘടിപ്പിച്ചിരിക്കുന്ന കോണിന് തുല്യമായി നിർവചിച്ചിരിക്കുന്ന യൂണിറ്റ് ഏതാണ്?",റേഡിയൻ
ചാൾസ് ലിൻഡ്ബർഗ് നേടിയ ഏറ്റവും ഉയർന്ന പദവി ഏതാണ്?,ബ്രിഗേഡിയർ ജനറൽ
ഗുര് ഖ സൈനികര് ക്ക് യുകെയില് താമസാവകാശം നല് കാനുള്ള വിജയകരമായ പ്രചാരണം നയിക്കുന്ന പ്രശസ്ത വ്യക്തി ആരാണ്?,ജോയാന ലംലി
"""""മൂൺവാക്ക്"""" നൃത്തത്തെ ജനപ്രിയമാക്കിയത് ആരാണ്?""",മൈക്കൽ ജാക്സൺ
ഗായകൻ വെറാ മാഗരറ്റ് വെൽച്ചിനെ ഏത് പേരിലാണ് കൂടുതൽ അറിയപ്പെടുന്നത്?,വെറ ലിൻ
ഏതു കായിക ഇനത്തിന് വേണ്ടിയാണ് ഓരോ വർഷവും കമ്മീഷണര് ട്രോഫി നല് കുന്നത്?,ബേസ്ബോൾ
2003-ൽ എപ്സം ഡെർബിയിൽ ക്രിസ് കിനെ വിജയത്തിലേക്ക് നയിച്ചത് ആരാണ്?,കിയറൻ ഫാലൻ
ഹൈഡെല് ബര് ഗ് സ്കൂൾ ഏത് രാജ്യത്തെ 19-ആം നൂറ്റാണ്ടിലെ ഇംപ്രഷനിസ്റ്റിക് കലാ പ്രസ്ഥാനമായിരുന്നു?,ഓസ്ട്രേലിയ
2008 ലെ യൂറോവിഷൻ ഗാന മത്സരത്തിൽ വിജയിച്ച രാജ്യം ഏതാണ്?,റഷ്യ
ആർക്കിടെക്ട് റിച്ചാർഡ് റോജേഴ്സ് ജനിച്ചത് ഏത് രാജ്യത്താണ്?,ഇറ്റലി
1944 ൽ ഹോളണ്ടിലെ പ്രധാന നദികളിലെ പ്രധാന പാലങ്ങൾ വായുസേനയുടെയും കരസേനയുടെയും ആക്രമണങ്ങളിലൂടെ പിടിച്ചെടുക്കാനുള്ള പ്രവർത്തനത്തിന്റെ പേര് എന്തായിരുന്നു?,മാർക്കറ്റ്-ഗാർഡൻ
1884-ലെ 'പസഫിക് യുദ്ധ'ത്തിനുശേഷം ഏത് തെക്കേ അമേരിക്കൻ രാജ്യമാണ് കരയാൽ ചുറ്റപ്പെട്ടത്?,ബൊളീവിയ
ഇസ്രായേലി പാർലമെന്റിന്റെ പേര് എന്താണ്?,ക്നെസെറ്റ്
1630-ൽ 'അല്ലെഗറി ഓൺ ദി ബ്ലെസ്സിങ്സ് ഓഫ് പീസ്' എന്ന ചിത്രം വരച്ച കലാകാരൻ ആരാണ്?,റൂബൻസ്
ചാര് ലി ഡ്രെയ്ക്കിന്റെ മുദ്രാവാക്യം എന്തായിരുന്നു?,ഹലോ എന്റെ പ്രിയങ്ങളേ
ഏത് ടിവി പോലീസ് ഷോയിലാണ് `യൂക്കോസ് '-നു വേണ്ടി അഭിനേതാക്കൾ പ്രവർത്തിക്കുന്നത്?,ന്യൂ ട്രിക്സ്
ഫോൾക് ലാൻഡ്സ് യുദ്ധത്തിൽ നഷ്ടപ്പെട്ട ആദ്യത്തെ ബ്രിട്ടീഷ് കപ്പൽ ഏതാണ്?,എച്ച്‌എംഎസ് ഷെഫീൽഡ്
നാസി രഹസ്യ പോലീസിന്റെ പേര് എന്താണ്?,ഗെസ്റ്റാപോ
ഏതുതരം ജീവി ആണ് ഒരു 'മാൻഡറിൻ'?,ഒരു താറാവ്
"പതിനെട്ടാം നൂറ്റാണ്ടിൽ കുതിരപ്പുറത്തിരിക്കുന്ന ഒരു കള്ളൻ ഒരു ഹൈവേമാൻ ആയിരുന്നു, അയാളുടെ കാൽനടക്കാരന്റെ പേരെന്തായിരുന്നു?",ഫുട്പാഡ്
1936 ൽ എഡ്വേർഡ് എട്ടാമൻ രാജാവ് രാജിവെച്ച സമയത്ത് ബ്രിട്ടന്റെ പ്രധാനമന്ത്രി ആരായിരുന്നു?,സ്റ്റാൻലി ബാല്ഡ്വിൻ
1917 ൽ ഡെൻമാർക്കിൽ നിന്ന് വാങ്ങിയതിനുശേഷം ഏത് ദ്വീപുകളാണ് കൂടുതലും യു. എസ്. എസിന് ഭാഗമായത്?,വർജിൻ ദ്വീപുകൾ
1785-ൽ ഫ്രാങ്കോയിസ് ബ്ലാഞ്ചാർഡും ജോൺ ജെഫ്രീസും ചേർന്ന് ഒരു ഹോട്ട് എയർ ബലൂൺ ഉപയോഗിച്ച് ഏത് ജലാശയത്തിലൂടെയാണ് ആദ്യമായി കടന്നത്?,ഇംഗ്ലീഷ് ചാനൽ
ഫൈൻഡിംഗ് നീമോ' എന്ന സിനിമയിലെ 'നീമോ' ഏതുതരം മത്സ്യമായിരുന്നു?,ക്ലൗൺഫിഷ്
"മൂന്ന് സൂചനകൾ ഒരു വാക്കിലേക്ക് നയിക്കുന്നു. 1.ഹോട്ടൽ രാജവംശത്തിന്റെ മകൾ, 2 ട്രോയ്, 3 പ്ലാസ്റ്റ്.",പാരീസ്
മറ്റൊരാൾ എഴുതിയ ഒരാളുടെ ജീവിതത്തെക്കുറിച്ചുള്ള ഒരു പുസ്തകത്തിന് എന്ത് പേര്?,ജീവചരിത്രം
ഏത് വെർഡി ഓപ്പറയിലെ നായികയാണ് വയലറ്റ?,ലാ ട്രാവിയാറ്റ
പോയിന്റിലിസ്റ്റ് കലാകാരൻ കാണ്ടിൻസ്കി ഏത് രാജ്യക്കാരനായിരുന്നു?,റഷ്യൻ
ഏറ്റവും വലിയ കഴുകൻ ഏതാണ്?,ഹാർപി കഴുകൻ
"""""""ദി സ്റ്റാർസ് ആൻഡ് സ്ട്രൈപ്സ് ഫോറെവർ"""" എന്ന അമേരിക്കൻ ദേശീയ മാർച്ച് എഴുതിയത് ആരാണ്?""",ജോൺ ഫിലിപ്പ് സൗസ
ബാൻഡ് പിരിയുന്നതിനു മുമ്പ് റെക്കോർഡ് ചെയ്ത അവസാന ബീറ്റിൽസ് ആൽബത്തിന്റെ പേരെന്താണ്?,ആബി റോഡ്
1942-ൽ ഏത് തുറമുഖത്ത് നടന്ന രണ്ടാം ലോകമഹായുദ്ധ ആക്രമണത്തിന്റെ രഹസ്യനാമമാണ് 'ഓപ്പറേഷൻ ജൂബിലി'?,ഡിയെപ്പ്
"പാട്ടിലെ വാക്കുകൾ അനുസരിച്ച്, മഴ ടെസ്സും തീ ജോയും ആണെങ്കിൽ, കാറ്റിന്റെ പേരെന്താണ്?",മറിയ
വിസ്ബെഛ് ഏതു ഇംഗ്ലീഷ് കൌണ്ടിയിൽ കാണാം?,കെയിംബ്രിഡ്ജ്‌ഷെയർ
ജെയിംസ് ബോണ്ടിന്റെ കഥാപാത്രം സൃഷ്ടിച്ചത് ആരാണ്?,ഇയാൻ ഫ്ലെമിംഗ്
ബ്രോൺട്ടോഫോബിയ എന്തിനെ ഭയപ്പെടുന്നു?,ഇടിമിന്നൽ
"ലോക രാജ്യങ്ങളുടെ അക്ഷരമാലാക്രമത്തിലുള്ള പട്ടികയിൽ, മാലിദ്വീപിനും മാൾട്ടയ്ക്കും ഇടയിൽ എന്താണ് വരുന്നത്?",മാലി
"""1999-ൽ സംപ്രേഷണം ആരംഭിച്ചതുമുതൽ """"ഹു വാണ്ട്സ് ടു ബി എ മില്യണയർ"""" എന്ന പരമ്പരയുടെ യുഎസ് പതിപ്പിന്റെ അവതാരകനായ മെറെഡിത്ത് വിയേരയെ കൂടാതെ ആരാണ്?""",റെജിസ് ഫിൽബിൻ
ഒളിംപിക് ഉദ്ഘാടന ചടങ്ങിൽ ഏത് രാജ്യത്തിന്റെ ടീം എല്ലായ്പ്പോഴും കായികതാരങ്ങളുടെ ചടങ്ങിൽ നേതൃത്വം വഹിക്കുന്നു?,ഗ്രീസ്
തേൻകൂമ്പ് ഏത് ആകൃതിയിലുള്ള മെഴുക് കോശങ്ങൾ കൊണ്ടാണ് നിർമ്മിച്ചിരിക്കുന്നത്?,ഷട്കോണം
1999-ൽ വെറ്റ് വെറ്റ്ലെ പ്രധാന ഗായകൻ ആരായിരുന്നു?,മാർട്ടി പെല്ലോ
കെന്റിലെ പെഗ്വെൽ ബേയിലും വെയ്റ്റ് ദ്വീപിലെ റൈഡിലും ഏതുതരം തുറമുഖം കാണാം?,ഹോവർപോർട്ട്
"മുടി, നഖങ്ങൾ എന്നിവ ഏതു പ്രോട്ടീൻ കൊണ്ടാണ് നിർമ്മിച്ചിരിക്കുന്നത്? ",കെറാറ്റിൻ
മൈക്കൽ ജാക്‌സണെ അടക്കം ചെയ്തത് ലോസ് ഏഞ്ചൽസിലെ ഏത് മെമ്മോറിയൽ പാർക്കിലാണ്?,ഫോറസ്റ്റ് ലോൺ
വൻതോതിലുള്ള പ്രതിഷേധത്തിന് ശേഷം ഇഫ്തീഖർ ചൌഡ്രിയെ ഏത് രാജ്യത്തിന്റെ നീതിന്യായ മന്ത്രിയായി പുനഃസ്ഥാപിച്ചു?,പാകിസ്ഥാൻ
"ഒളിമ്പിക്‌സ് സ്വർണമെഡൽ ജേതാക്കളായ ഫാനി ബ്ലാങ്കേഴ്‌സ്-കോയിൻ, ഇംഗെ ഡി ബ്രൂയ്‌ജിൻ, ലിയോൻറിയൻ വാൻ മൂർസൽ, യുവോൺ വാൻ ജെന്നിപ്, ആർഡ് ഷെങ്ക്, ജോചെം ഉയ്റ്റ്‌ഡെഹാഗെ, പീറ്റർ വാൻ ഡെൻ ഹൂഗൻബാൻഡ്, ജിയാനി റോം, മരിയാൻ ടിമ്മർ, വിം റസ്‌ക, ചാൾസ് വാൻഡർ എ മോർട്‌സ് വാൻ ഡേ മോർത്ത്‌വാൻ ഡേ മോർത്ത്‌വാൻഡർ പഹുഡ് ഇസഡ്ജെപി  ഏത് രാജ്യത്തെ പ്രതിനിധീകരിച്ചു?",നെതർലാൻഡ്സ്
"ബന്ദൂങ്, ടാംഗേരാങ്, പാലെംബാംഗ്, സെമരംഗ്, സെറാങ് എന്നിവ ജനപ്രിയ ഇന്തോനേഷ്യൻ എന്താണ്?",നഗരങ്ങൾ
"മതപരമായ പരിഷ്കർത്താക്കൾ - പതിനാറാം നൂറ്റാണ്ടിലെ ഓക്സ്ഫോർഡ് പണ്ഡിതൻ ആരാണ് ആദ്യമായി ഗ്രീക്ക് ഗ്രന്ഥങ്ങളിൽ നിന്ന് ബൈബിൾ ഇംഗ്ലീഷിലേക്ക് വിവർത്തനം ചെയ്തത്? 1535-ൽ റോമൻ കത്തോലിക്കാ സഭ അദ്ദേഹത്തെ മതവിരുദ്ധ കുറ്റം ചുമത്തി, കഴുത്തു ഞെരിച്ച് കൊന്ന് സ്തംഭത്തിൽ കത്തിച്ചു.",വില്യം ടിൻഡെയിൽ
"ഹോളോകോസ്റ്റിന് ശേഷം ഏറ്റവും കൂടുതൽ പഠിക്കപ്പെട്ട രണ്ടാമത്തെ വംശഹത്യ കേസ് 1915 ഏപ്രിൽ 24 ന് ആരംഭിച്ചതായി പറയപ്പെടുന്നു, അന്ന് ഓട്ടോമൻ അധികാരികൾ ഏത് വംശജരായ 250 ബുദ്ധിജീവികളെ അറസ്റ്റ് ചെയ്തു?",അർമേനിയൻ
ഫ്രെഡറിക് ഡെലിയസ് എവിടെ ജനിച്ചു?,ബ്രാഡ്ഫോർഡ്
"""ഒന്നാം ലോകമഹായുദ്ധത്തിനുശേഷം, കെന്നൽ ക്ലബ് ജർമ്മനിയിൽ നിന്ന് കടമെടുത്ത ഒരു പ്രദേശത്തിന്റെ പേരിന്റെ അടിസ്ഥാനത്തിൽ """"ഡച്ച് ഷാഫർഹണ്ട്"""" ന് നൽകിയ പുതിയ പേര് എന്താണ്?""",ആൽസേഷ്യൻ
ഷ്രോവ് ചൊവ്വാഴ്ചയുടെ അമേരിക്കൻ പേര് എന്താണ്?,ഫാറ്റ് ട്യൂസ്‌ഡേ
ലണ്ടനിലെ ഏതു തെരുവിലാണ് സാവോയി ഹോട്ടലും ചാരിങ് ക്രോസ് സ്റ്റേഷനും അഡെൽഫി തിയേറ്ററും?,ദി സ്ട്രാൻഡ്
"പ്രെസ്റ്റൺ നോർത്ത് എൻഡ് അതിന്റെ നിലനിൽപ്പിന്റെ ആദ്യ രണ്ട് വർഷങ്ങളിൽ ഫുട്ബോൾ ലീഗ് ചാമ്പ്യന്മാരായിരുന്നു, മൂന്നാം വർഷം ഏത് ടീമാണ് വിജയിച്ചത്?",എവെർട്ടൺ
ഇപ്പോൾ ഒരു മ്യൂസിയമുള്ള ഹാർലെമിലെ ഓഡുബൺ ബോൾറൂം ആരുടെ കൊലപാതകം നടന്ന സ്ഥലമായിരുന്നു?,മാൽക്കം എക്സ്
ഓസ്‌ട്രേലിയയിലെ മെൽബൂം ഏത് നദിയുടെ തീരത്താണ് സ്ഥിതി ചെയ്യുന്നത്?,യാറാ
ജീസസ് ക്രൈസ്റ്റ് സൂപ്പർസ്റ്റാറിന്റെ ചലച്ചിത്ര പതിപ്പിൽ ആരാണ് ടൈറ്റിൽ റോൾ ചെയ്തത്?,ടെഡ് നീലി
കാർൾ XVI ഗുസ്താവ് 1973 സെപ്റ്റംബറിൽ ഏത് യൂറോപ്യൻ രാജ്യത്തിന്റെ രാജാവായി?,സ്വീഡൻ
"ജോൺ സെന്റാമു, യോർക്ക് ആർച്ച്ബിഷപ്പ്, 1949 ൽ ജനിച്ചത് ഏത് രാജ്യത്താണ്? ",ഉഗാണ്ട
റേഡിയോ ആക്ടീവ് വസ്തുക്കളുടെ രസതന്ത്രത്തെക്കുറിച്ചുള്ള പ്രവർത്തനത്തിന് 1908-ൽ നോബൽ സമ്മാനം നേടിയത് ആർക്കാണ്?,എർണസ്റ്റ് റദർഫോർഡ്
സി.എം. പങ്ക് ആരുടെ കൂടെയാണ് വേൾഡ് ടാഗ് ടീം ചാമ്പ്യൻഷിപ്പുകൾ നടത്തിയത്?,കോഫി കിംഗ്‌സ്റ്റൺ
"""""""ജാസ്"""" എന്ന നോവലിലെ സ്രാവിനെ വേട്ടയാടാൻ ഉപയോഗിച്ച ക്വിൻ എന്ന കഥാപാത്രത്തിന്റെ ബോട്ടിന്റെ പേരെന്താണ്?""",ഓർക്ക
യാക്കോബിന്റെയും റാഹേലിന്റെയും ഇളയ മകൻ ആരാണ്?,ബെഞ്ചമിൻ
"""1976 മുതൽ 17 വർഷമായി """"വൺ മാൻ ആൻഡ് ഹിസ് ഡോഗ് "" അവതരിപ്പിച്ചതാര്?",ഫിൽ ഡ്രാബിൾ
ഹോക്സ്ബറി നദിക്കടുത്തുള്ളതും കിംഗ്സ്ഫോർഡ്-സ്മിത്ത് വിമാനത്താവളം സർവീസ് നടത്തുന്നതുമായ നഗരം ഏതാണ്?,സിഡ്നി
ഐടിവിയിലെ 'ബ്രിട്ടൻസ് ഗോട്ട് ടാലന്റ്' എന്ന പരമ്പരയുടെ മൂന്നാം പരമ്പരയിൽ സൂസൻ ബോയലിനെ രണ്ടാം സ്ഥാനത്തേക്ക് പിന്തള്ളി വിജയിച്ച ലണ്ടൻ ആസ്ഥാനമായുള്ള തെരുവ് നൃത്ത സംഘത്തിന്റെ പേരെന്താണ്?,ഡിവേഴ്സിറ്റി 
ഏത് അമേരിക്കൻ നോവലിസ്റ്റിന്റെ നോവലാണ് ഓഫ് മൈസ് ആൻഡ് മെൻ?,ജോൺ സ്റ്റെയിൻബെക്ക്
അറിയപ്പെടുന്നതിൽ വച്ച് ഏറ്റവും പഴയ ആന്റിബയോട്ടിക് ഏതായിരുന്നു,പെനിസിലിൻ
1671 ൽ കേണൽ തോമസ് ബ്ലഡ് എന്ത് മോഷ്ടിക്കാൻ ശ്രമിച്ചു?,കിരീടാഭരണങ്ങൾ
"തലയിണകളും കംഫർട്ടറുകളും നിർമ്മിക്കാൻ പലപ്പോഴും ഉപയോഗിക്കുന്നു, ഈഡർ താറാവിന്റെ ചെറിയ തൂവലുകൾ എന്താണ് അറിയപ്പെടുന്നത്?",ഡൌൺ 
"ഹാംപ്സ്റ്റെഡിലെ 2, വില്ലോ റോഡിന്റെ ശിൽപ്പിയായ ഹംഗേറിയൻ വംശജനായ മോഡേണിസ്റ്റ് ആരാണ്?",എർണോ ഗോൾഡ്ഫിംഗർ
ബുലന്റ് എസെവിറ്റ് 1999 മുതൽ 2002 വരെ ഏത് രാജ്യത്തിന്റെ പ്രധാനമന്ത്രിയായിരുന്നു?,ടർക്കി
കെനും റോണിയും കണ്ടുപിടിച്ച ഡോഗ്ളുകൾ എന്തൊക്കെയാണ്?,സൺഗ്ലാസ്
വിക്കി എന്നതിന്റെ അർത്ഥം ഹവായിയൻ ഭാഷയിൽ എന്താണ്?,വേഗം
മാറ്റർഹോൺ താഴ്‌വരയിൽ സ്ഥിതി ചെയ്യുന്ന സ്വിറ്റ്സർലൻഡിലെ ഏത് പട്ടണമാണ്?,സെർമാറ്റ്
2014 ഫിഫ ലോകകപ്പിൽ ഏത് റയൽ മാഡ്രിഡ് കളിക്കാരനാണ് ടൂർണമെന്റിലെ മികച്ച ഗോൾ സ്കോററായി സ്വർണ്ണ ബൂട്ട് നേടിയത്?,ജെയിംസ് റോഡ്രിഗസ്
ക്വാസി-സ്റ്റെല്ലാർ റേഡിയോ സോഴ്‌സ്' എന്ന ജ്യോതിശാസ്ത്ര പദം ഏത് ചുരുക്കപ്പേരായി സാധാരണയായി പ്രകടിപ്പിക്കപ്പെടുന്നു?,ക്വാസാർ
കൊമ്പിന്റെ പേരിൽ വംശനാശം വരെ വേട്ടയാടപ്പെട്ട മൃഗം ഏതാണ്?,കണ്ടാമൃഗം
"ടിംബാൽ, തബല, ബോധ്രാൻ എന്നിവ ഏതൊക്കെ തരം ഉപകരണങ്ങളാണ്?",ചെണ്ട
ഒരു നടൻ തന്റെ ചിന്തകൾ ഉറക്കെ പറഞ്ഞുകൊണ്ട് പ്രേക്ഷകരെ അഭിസംബോധന ചെയ്യുന്ന ഒരു മോണോലോഗിനെ ഏത് വാക്കാണ് വിവരിക്കുന്നത്?,സ്വഗാനം
"മരിയാനെ ഡാഷ്വുഡ്, ഫാനി പ്രൈസ്, ആൻ എലിയറ്റ്' എന്നിവ ഏത് എഴുത്തുകാരന്റെ കഥാപാത്രങ്ങളാണ്?",ജെയിൻ ഓസ്റ്റൻ
"പതിനഞ്ചാം നൂറ്റാണ്ടോടെ മിഡിൽ ഈസ്റ്റ്, പേർഷ്യ, തുർക്കി, വടക്കേ ആഫ്രിക്ക എന്നിവിടങ്ങളിൽ കാപ്പി അറിയപ്പെട്ടിരുന്നു. ഏത് ആധുനിക രാജ്യത്തിന്റെ പരിധിയിലുള്ള പ്രദേശത്താണ് ഇത് ആദ്യമായി യൂറോപ്പിൽ എത്തിയത്?",ഇറ്റലി
പുതിയനിയമത്തിൽ സ്നാപകയോഹന്നാൻ യോഹന്നാന്റെ പിതാവ് ആരാണ്?,സഖറിയാസ്
"ടൈഗർ ബേ (1959), പോളിയാന (1960) , ദി പാരന്റ് ട്രാപ്പ് (1961) എന്നീ സിനിമകളിൽ ഏത് കുട്ടിക്കാല നടി അഭിനയിച്ചു? ",ഹെയ്ലി മിൽസ്
സ്വഹിലി ഭാഷയിൽ സിംഹത്തെ എന്തു വിളിക്കുന്നു?,സിംബ
"അച്ഛനും മകനുമായ ലോയ്ഡ്, ബ്യൂ എന്നീ നടന്മാരുടെ കുടുംബപ്പേര് എന്താണ്?",പാലങ്ങൾ
ഒരു ഒനോഫിൽ എന്തു ഇഷ്ടപ്പെടുന്നു?,വൈൻ
സൂപ്പർടെഡിന്റെ സഹപ്രവർത്തകന്റെ പേര് എന്തായിരുന്നു?,പുള്ളിയുള്ള
ഒരു ലോഗ്ഗിയ എന്നത് എന്തിന്റെ അഭാവത്താൽ സവിശേഷതയുള്ള ഒരു മുറിയോ ഗാലറിയോ ആണ്?,പുറമേയുള്ള ചുമർ
ബൈഫോകൽ ലെൻസ് കണ്ടുപിടിച്ചതാര് ?,ബെഞ്ചമിൻ ഫ്രാങ്ക്ലിൻ
ട്രേഡിംഗ് പ്ലേസസ് എന്ന സിനിമയിൽ എഡ്ഡി മർഫിയുമായി ആരാണ് സ്ഥലങ്ങൾ കൈമാറ്റം ചെയ്തത്?,ഡാൻ ആക്രോയ്ഡ്
യുകെ റോഡുകളിലെ മഞ്ഞിനുള്ള മുന്നറിയിപ്പ് ചിഹ്നം ഏത് ചിഹ്നമാണ് കാണിക്കുന്നത്?,മഞ്ഞുതുള്ളികൾ
ഭൂമിയുടെ ഉപരിതലത്തിന് മുകളിലുള്ള 50 കിലോമീറ്റർ മുതൽ 80 കിലോമീറ്റർ വരെ ഉയരമുള്ള മെസോസ്ഫിയര് മറ്റേതൊരു പാളിക്ക് മുകളിലാണ്?,സ്ത്രാറ്റോസ്ഫിയർ
ഏത് 'കാരി ഓൺ' സിനിമയിലാണ് നടൻ സിഡ് ജെയിംസ് സിഡ് ബോഗിൾ എന്ന കഥാപാത്രത്തെ അവതരിപ്പിച്ചത്?,കാരി ഓൺ ക്യാമ്പിംഗ്
പശുക്കിടാവിന്റെ വൃഷണങ്ങൾ പാകം ചെയ്ത് ഭക്ഷണമായി വിളമ്പുന്നത് 'പ്രൈറി...' എന്നറിയപ്പെടുന്നു. എന്താണ്?,ഒയ്സ്റ്റർസ്
1982-ൽ ബോൾട്ടണിൽ ജനിച്ച ജെന്നി റയാൻ ഏത് ഐടിവി പ്രോഗ്രാമിലാണ് ഏറ്റവും പുതിയ അംഗമായി ചേർന്നത്?,ചേസ്
മാർഗരറ്റ് താച്ചർ ആരെയാണ് പരാജയപ്പെടുത്തി കൺസർവേറ്റീവ് പാർട്ടി നേതാവായത്?,വില്യം വൈറ്റ്‌ലോ
ഉപരിതലമേഖലയുടെ കാര്യത്തിൽ ബ്രിട്ടീഷ് ദ്വീപുകളിലെ ഏറ്റവും വലിയ ജലസംഭരണി ഏതാണ്?,ലോഫ് നീഗ്
ഫ്രഞ്ച് രാജകുമാരി വാലോയിസ് രാജ്ഞി കാതറിന് വിവാഹം കഴിച്ചത് ഏത് ഇംഗ്ലീഷ് രാജാവിനെയാണ്?,ഹെൻറി അഞ്ചാമൻ
"""""ഒരു പുരുഷന് താൻ അനുഭവിക്കുന്ന സ്ത്രീയുടെ പ്രായം മാത്രമേ ഉള്ളൂ"""" എന്ന് ആരാണ് പറഞ്ഞത്?""",ഗ്രൗചോ മാർക്സ്
ഉലീസ്സസ് എന്ന കവിത എഴുതിയത് ആര് ?,ടെന്നിസൺ
1824-ൽ തന്റെ പരീക്ഷണങ്ങളിൽ ഉപയോഗിക്കുന്നതിനായി റബ്ബർ ബലൂൺ കണ്ടുപിടിച്ച ഇംഗ്ലീഷ് രസതന്ത്രജ്ഞനും ഭൗതികശാസ്ത്രജ്ഞനുമായ വ്യക്തി ആരാണ്?,മൈക്കൽ ഫാരഡേ
തേംസ് നദിയിലെ ഏത് ഭാഗമാണ് അതിലെ വേലിയേറ്റ ജലത്തിന്റെ ഉയർന്ന പരിധി അടയാളപ്പെടുത്തുന്നത്?,ടെഡ്ഡിങ്ടൺ ലോക്ക്
1771-ൽ ഡെർബിഷയറിൽ ആദ്യത്തെ കോട്ടൺ സ്പിന്നിംഗ് ഫാക്ടറി നിർമ്മിച്ചത് ആരാണ്?,റിച്ചാർഡ് ആർക്രൈറ്റ്
ബാത്തിനും ചിപ്പിംഗ് കാമ്പ്ഡനും ഇടയിൽ 102 മൈൽ ദൈർഘ്യമുള്ള ഏത് നാഷണൽ ട്രെയിലാണ് പ്രാദേശിക കുന്നുകളുടെ ഒരു നിരയിൽ നിന്ന് അതിന്റെ പേര് സ്വീകരിച്ചത്?,കോട്ട്സ്വോൾഡ് വേ
എപ്പിസ്റ്റാക്സിസ്' എന്ന ചെറിയ മെഡിക്കൽ പരാതിയുടെ ഏറ്റവും സാധാരണമായ പേര് എന്താണ്?,മൂക്കിൽ നിന്ന് രക്തസ്രാവം
1992 ജനുവരി 12-ന് ഇല്ലിനോയിസിലെ ഉർബാനയിൽ വെച്ച് മിസ്റ്റർ ലാംഗ്ലി ഒരു  എച് എ എൽ 9000 കമ്പ്യൂട്ടറിനെ പഠിപ്പിച്ചത് ഏത് പാട്ടാണ്?,ഡെയ്‌സി
ടെലിവിഷൻ സിറ്റ്കോമിൽ ജെഫ്രി ഹ്യൂസ് അഭിനയിച്ച കഥാപാത്രത്തിന്റെ ആദ്യനാമം എന്താണ്?,ഓൺസ്ലോ
ലെയ്ൻ നദിയിലെ ഏത് നഗരമാണ് ജർമ്മൻ ഫെഡറൽ സംസ്ഥാനമായ ലോവർ സക്സോണിൻറെ തലസ്ഥാനം?,ഹാനോവർ
"""""""ഇറിറ്റബൾ"""" എന്നതിന്റെ പര്യായപദം എന്താണ്?""",ക്രോച്ചെറ്റി
"കാൽസ്യം, ബേരിയം, പൊട്ടാസ്യം എന്നീ മൂലകങ്ങൾ കണ്ടെത്തിയ ശാസ്ത്രജ്ഞൻ?",ഹംഫ്രി ഡേവി
അമേരിക്കൻ ആഭ്യന്തരയുദ്ധത്തിന്റെ തുടക്കത്തിൽ ആരായിരുന്നു പ്രസിഡന്റ്?,അബ്രഹാം ലിങ്കൺ
പപ്പുവ ന്യൂ ഗ്വിനിയയുടെ തലസ്ഥാനം ഏതാണ്?,പോർട്ട് മോറെസ്ബി
"മോണോപോളി ബോർഡിൽ, വിൻ സ്ട്രീറ്റും സ്ട്രാൻഡും തമ്മിലുള്ള സ്ഥലം എന്താണ്?",ഫ്രീ പാർക്കിംഗ് 
