question,answer
" Which nuts are used to make satay sauce?
",Peanuts
" Which savoury spread's name comes from the French for a type of earthenware pot?
",Marmite
" In archery how many points is the blue worth
",Five
" Which former New Zealand Rugby Union international, who made his debut in 1957, was nicknamed 'Pine Tree'?
",Colin meads
" In which British city was composer Frederick Delius born?
",Bradford
" In which South American country is Mount Chimborazo the highest mountain ?
",Ecuador
" Who plays Kevin Webster in 'Coronation Street'?
",Michael le vell
" Which American car company made the Firebird and Phoenix models?
",Pontiac
" By what name was singer Terence Nelhams better known?
",Adam faith
" Which cartoonist who worked for the satirical magazine 'Punch', is best remembered for illustrating Lewis Carroll's 'Alice In Wonderland'?
",John tenniel
" With what is the Japanese art of bonsai concerned?
",Miniature Trees
" What device emits light (electromagnetic radiation), which is usually spatially coherent, through a process called stimulated emission?
",Laser
" Which American band leader first formed a band in 1934, had the signature tune “Let’s Dance” and died in 1986?
",Benny Goodman
" Who was the author who at the age of nine, wrote The Young Visiters?
",Daisy Ashford
" What was the name given to a type of xylophone consisting of large stones, dating from 2,500 - 4,000 BC found in China?
",Lithophone
" Who plays at Old Trafford?
",Manchester United
" ""Which actress played the part of Brenda Furlong in the TV comedy series, """"Dinner Ladies""""? The same actress also wrote and produced the series.""
",Victoria wood
" In which country is the HQ of the mobile phone company Nokia?
",Finland
" What is fed to a bee larva to turn it into a queen?
",Royal Jelly
" ""Which Beatle played """"Youngman Grand"""" in """"The Magic Christian"""" 1969, with Peter Sellers?""
",Ringo Starr
" What Canadian province was named after one of Queen Victoria's children
",Alberta
" What street do Bert and Ernie live on?
",Sesame Street
" What is the pen-name of novelist Mary Ann Evans (1819-80)?
",George Eliot
" About 90% of the world's extractable material, used for the manufacture of ornamental objects and jewellery, is in the Kaliningrad Oblast of Russia on the Baltic Sea. What type of material is this?
",Amber
" What colour/color is used to describe a seared steak (of beef) - cooked very quickly and very rare, just one stage from being raw?
",Blue
" Which ruthless dictator was nicknamed ‘Dada’?
",Idi Amin
" What travels around the Sun at an average speed of 185 miles per second.
",The earth
" Which organization announced euphemistically it would 'transition' its modestly performing '360' social networking website?
",Yahoo
" Which Dickens novel has a first chapter called 'I am born'?
",David copperfield
" Which cathedral is the tallest in the UK with a spire height of 123 metres or 404 feet?
",Salisbury
" What name was given to Columbian goalkeeper Rene Higuita's spectacular clearance against England, when he dived under the ball and back-heeled it while airborne?
",The Scorpion
" In which country will you find the city of Fez?
",Morocco
" Give the more common name for the plant, the Cranesbill?
",Geranium
" Who wrote the best seller 'The Lovely Bones'?
",Alice sebold
" With the symbol H what is the unit of inductance?
",Henry
" What fictional character lives at 32 Windsor Gardens?
",Paddington Bear
" ""Which poem in five sections, first published in 1922, was described by the poet as """"..just a piece of rhythmic grumbling""""?""
",The wasteland
" ""What city has been called """"The capital of Latin America"""", despite not actually being part of Latin America?""
",Miami
" Who was the leader of the conspirators involved in the Gunpowder Plot in 1605?
",Robert Catesby
" ""According to a fragment of """"The Achilleid"""", written by Statius in the first century AD, when Achilles the mythological Greek hero was born, his mother tried to make him immortal by dipping him in the river Styx. Where was he left vulnerable?""
",Heel
" ""Which product was advertised to the tune of Bach's """"Air on a G- string""""?""
",Hamlet Cigars
" What is the name of Steven Spielberg's 1997 film telling the story of a slave ship mutiny?
",Amistad
" ""In """"Les Miserables"""", what is the name of the little orphan girl adopted by the hero Jean Valjean ?""
",Cosette
" What name is given to the negative electrode of an electrolytic cell?
",Cathode
" Which breed of bird was used in mines to detect dangerous gases?
",Canary
" Which King of England was married to Caroline of Ansbach ?
",George ii
" Which transuranic element is named after a city in California?
",Berkelium
" In which city was singer Gene Pitney found dead by his tour manager on April 5th, 2006 ?
",Cardiff
" What colour is a (male) purple finch?
",Red
" Which river is crossed by the bridge Ponte Vasco de Gama?
",Tagus
" Which Venetian artist painted 'Venus and Adonis' and 'The Assumption of the Virgin'?
",Titian
" Who directed the 1968 film 'The Producers'?
",Mel brookes
" Fuerteventura and La Gomera are two islands in which archipelago?
",Canary islands
" Which president was married to the actress Jane Wyman?
",Ronald Reagan
" Although not the capital, Guayaquil is the largest city of which country?
",Equador
" What name is given to the branch of Christianity followed in Egypt?
",Coptic
" September 1, 1939 saw the start of World War II when Germany invaded what country?
",Poland
" Which Israeli Prime Minister resigned in 1974 following the Yom Kippur War?
",Golda meir
" Charlottetown is the capital of which Canadian province?
",Prince Edward Island
" What nationality was Winston Churchill's mother?
",American
" Ronan Keating was a member of which band?
",Boyzone
" Introduced in the episode The Cage, who was the original captain of the USS Enterprise in the Star Trek world?
",Christopher Pike
" Which other US President died on July 4th 1826, the same day as John Adams?
",Thomas jefferson
" In 1969, which category was added to the Nobel Prizes?
",Economics
" Ending humiliatingly for Italy, which country did Mussolini try to invade in October 1940?
",Greece
" Who is the only British Actress, from a large theatrical family, to have won an Oscar, Emmy, Tony, Cannes Golden Globe and Screen Actors Guild Awards?
",Vanessa redgrave
" What was the first name of the French artist Poussin (1594-1665)?
",Nicolas
" The Ansoff matrix correlates what two aspects of business development from the 'new' and 'existing' perspectives?
",Products and Markets
" Which painter was married to Mexican artist Diego Rivera?
",Frida Kahlo
" To which family of birds does the Yellowhammer belong?
",Bunting
" What is the name of the footballer whose heart stopped during a match between Bolton Wanderers and Tottenham Hotspur in March 2012?
",Fabrice muamba
" In 1953 Ethel and Julius Rosenberg were executed in the USA for spying for which country?
",Soviet Union
" In which constellation is the star Regulus?
",Leo
" Who were Balthazar, Melchior and Caspar?
",The Three Wise Men
" What is the forename of the shoe designer Loubertin?
",Christian
" Coriolanus Snow, Peeta Mellark and Haymitch Abernathy are characters in which series of books?
",The Hunger Games
" Which castle, when used as a prison for prisoners of war in World War II, was known as Oflag VII C?
",Colditz
" In the TV comedy 'Last of the Summer Wine', what is the name of Nora Batty's husband?
",Wally
" What is the name used for the training and cutting of trees and shrubs into ornamental shapes?
",Topiary
" A silkie is what type of bird?
",Chicken
" Discovered in 1824, which chemical element, Atomic Number 14, has a name derived from the Latin for 'flint'?
",Silicon
" What position/title comes between apprentice and master craftsman/master tradesman?
",Journeyman
" In which continent would you find 'The Great Rift Valley'?
",Africa
" Who wrote 'Appley Dapply's Nursery Rhymes', published in 1917?
",Beatrix potter
" There is a move afoot by the governor of the great state of New Mexico to issue a pardon to old west legend William H. Bonney. By what name is he more commonly known?
",Billy the Kid
" ""What product once featured a much-loathed """"assistant"""" named Clippy?""
",Microsoft Office
" In mathematics, what is the correct term for the answer to a multiplication calculation?
",Product
" In 2015 the World Anti-Doping Agency suggested banning which nation from the 2016 Olympics?
",Russia
" Who immediately succeeded Abraham Lincoln as President?
",Andrew Johnson
" Traditionally, when a man bows a woman will do what?
",Curtsey
" Concerned about the impact of uncontrolled development and industrialisation, what National Charity was founded in 1895 by three Victorian philanthropists, Miss Octavia Hill, Sir Robert Hunter and Canon Hardwicke Rawnsley?
",The National Trust
" VT is the abreviation for which US state?
",Vermont
" Who pondered The Road Ahead and advocated Business at the Speed of Thought?
",Bill Gates
" The tombs of almost all Britih monarchs are located within the UK. One of the few exceptions is George I. Near which German town or city is his burial place?
",Hanover
" What is the world's largest nation that is all in a single time zone?
",China
" In what television knockout competition did Zara Brownless become the winner for the year 2011?
",Young apprentice
" Which European country restored its monarchy in 1975?
",Spain
" From what is banana oil made?
",Petroleum
" What city were the Beatles from?
",Liverpool
" What is the state capital of Illinois
",Springfield
" The African and French marigolds are native to what country?
",Mexico
" Apart from George, who was the only other Beatle to appear at the 1971 Concert for Bangladesh at Madison Square?
",Ringo starr
" Which title was bestowed upon Oliver Cromwell in 1653?
",Lord Protector
" Which car manufacturer’s logo is a chain of four intersecting circles?
",Audi
" Which English actor/singer was born Michael Dumble-Smith in 1942?
",Michael Crawford
" Which New Zealand-born and New York-based artist, known for his kinetic sculpture produced between 1950 and 1980, also made films, applying dyes, stencils, air-brushes and other objects directly to celluloid?
",Len Lye
" In Greek Mythology which boastful hunter was killed by the sting of a scorpion – both being turned into constellations?
",Orion
" Who or what are The Warrior, The Plank and The Downward Dog?
",Yoga poses
" Which ship escaped under the cover of darknes in July 1949 along the flooded Yangtse river?
",HMS Amethyst
" The predominant cause of rickets is a deficiency of which vitamin?
",D
" In which European city would you have found Checkpoint Charlie?
",Berlin
" Which Latin term, usually applied to legal evidence, means 'at first sight'?
",Prima facie
" Charles-Ădouard Jeanneret-Gris  was better known as who?
",Le Corbusier
" What are the indigenous people of new Zealand called?
",Maoris
" What is the name of the pet dog in the UK children’s television series ‘The Woodentops’?
",Spotty Dog
" Who was the Test Match Special scorer who died in January 2009?
",Bill Frindall
" The 1961 western One-Eyed Jacks was the only feature film to be directed by which actor?
",Marlon brando
" Which animal is known as River Horse?
",Hippopotamus
" Which Frank Kafka novel tells the story of a seventeen- year-old European emigrant named 'Karl Rossmann'?
",amerika'
" What type of fish is a Sockeye?
",Salmon
" In which book would you find the Cheshire Cat
",Alice in Wonderland
" Who wrote the novel 'To Kill A Mockingbird'?
",Harper Lee
" The FINA World Championships contain five sports - diving, swimming, open water swimming, synchronised swimming and which other?
",Water polo
" For administrative purposes, Turkey is divided into 81 provinces, formerly termed vilayet, which are now called what?
",Iller
" Who directed the 1968 film ‘Rosemary’s Baby’?
",Roman Polanski
" ""What is the """"national"""" and """"first official"""" language of The Republic of Ireland?""
",Irish
" New Guinea and Borneo are the two largest “divided” islands in the world. What is the third largest island which is divided between two or more nations?
",Ireland
" Signed on Sept 8, 1951, the Treaty of San Francisco officially ended what?
",World War II
" What is k. d. lang's profession?
",Singer
" All happy families resemble one another, but each unhappy family is unhappy in its own way. The opening lines of which great novel?
",Anna Karenina
" Tower, Albert and Vauxhall are all bridges in which European city?
",London
" Mount Elbrus (5,642 metres) is the highest mountain in which continent?
",Europe
" The Salk vaccine is one of two vaccines used throughout the world to combat what disease?
",poliomyelitis
" Who won 3 gold medals for Great Britain at the 2008 Summer Olympics, and was named 2008 BBC Sports Personality of the Year?
",Chris Hoy
" The Kroon is a monetary unit of which European country?
",Estonia
" Tennis star Steffi Graf was born in which country?
",Germany
" Members of which branch of the U.S. military are sometimes referred to as jarheads?
",Marines
" Until the Simpsons came along, what was the most successful TV cartoon series?
",The Flintstones
" The hymn 'Dear Lord And Father Of Mankind' is usually sung to which tune by Hubert Parry?
",repton'
" Liam Gallagher is the lead singer of which group?
",Beady eye
" What animal's milk is mozzarella cheese traditionally made from?
",Water Buffalo
" Kingsford Smith Airport serves which Commonwealth city?
",Sydney
" A Pearmain is what type of fruit?
",Apple
" In which country are the headquarters of the high-street clothing retailers H&M?
",Sweden
" In July this year we saw the final Space Shuttle mission. Which shuttle was used for the voyage?
",Atlantis
" ""Which artist's name means in translation """"Little Dyer""""?""
",Tintoretto
" Which England cricket captain wrote a book entitled 'Gambling: A Story of Triumph and Disaster'?
",Michael Atherton
" What is the currency of Somalia
",Shilling
" Robert Diamond is the Chief Executive of which British bank?
",Barclays
" In 1995 the company National Breakdown changed its name – to what?
",Green Flag
" What is another name for the larkspur?
",Delphinium
" Often referred to by trainers in gyms, for what do the letters BMI stand in regard to physical fitness?
",Body mass index
" Which very famous actor had three wives, Josephine Alicia Saenz, Esperanza Baur and Pilar Pallete?
",John Wayne
" Pearl Roundabout has been a scene of political protests, in which city is it?
",Manama
" Which musical, that opened in 2003 and based on the novel by Gregory Maguire, is set in the fictional land of 'Oz'?
",wicked'
" What was Charles Dickens final completed novel?
",Our Mutual Friend
" """"""Let's Get It Started"""" (2003) by the Black Eyed Peas was originally recorded with what offensive word in the title, making it unsuitable for play on some radio stations and at sports games?""
",Retarded
" The female former Hewlett-Packard CEO who vied to be US Rebublican Presidential candidate 2015/16 is Carly?
",Fiorina
" Who is the Greek goddess of victory?
",Nike
" What is the Navy equivalent of an Army Colonel?
",Captain
" Which US office equipment corporation renamed itself (1961) after its branded photocopying technology, from Greek meaning 'dry'?
",Xerox
" Who's band was The Quarrymen?
",John Lennon
" Which is the only club in the League of Ireland from outside the Republic of Ireland?
",Derry City
" Who is the only World Heavyweight Boxing champion to retire undefeated?
",Rocky Marciano
" Who had a 60s No 1 with Lightnin' Strikes?
",Lou Christie
" What stretch of water was used as practice by the Dambusters in preparation for the attack on the Ruhr?
",Derwent water
" Which spice, of Asiatic origin, is commonly used as a cheaper substitute for saffron?
",Turmeric
" ""Who said """"All I need to make a comedy is a park, a policeman and a pretty girl""""?""
",Charlie Chaplin
" Algophobia is the fear of what?
",Pain
" What is the one-word nickname of Michael Balzary, the bass player with the Red Hot Chili Peppers?
",Flea
" In which town is the Devonshire Royal Hospital, now the Devonshire campus of the University of Derby?
",Buxton
" What animal provides 50% of all the protein eaten in Peru?
",Guinea Pigs
" In which comedy does Frances de la Tour play a secret drinking headmistress?
",Big School
" January 25, 1947 saw the death, from neurosyphilis, of what famous American, nicknamed Scarface?
",Al Capone
" What month in 2007 was the smoking ban in England introduced?
",July
" 'Oscar' nominated actress Kate Hudson is the daughter of which actress?
",Goldie hawn
" Who was king of England In 1300?
",EDWARD the FIRST
" In March 1952 General Fulgencio Batista re-took control of which Caribbean country after a military coup?
",Cuba
" What colour is the right hand vertical band on the flag of Afghanistan?
",Green
" Ryan Giggs father, Danny Wilson, left Rugby Union in Wales, and signed professional forms for which Rugby League club?
",Swinton
" In March 1977, the rings of which planet in our solar system were discovered?
",Uranus
" What crime was Al Capone convicted of in 1931?
",Tax Evasion
" Food brand Knorr was founded in which country?
",Germany
" The phrase 'HDTV is worth every cent' became featured in which TV show's opening sequence?
",The Simpsons
" Western Red Cedar trees are typically used by the indigenous cultures of the Pacific Northwest coast of North America to carve what distinctive artifacts?
",Totem poles
" Which female singer starred as Astrid Peth in the 2007 ‘Dr Who’ Christmas special?
",Kylie Minogue
" With examples such as Panama and Suez, what is the name for a narrow strip of land connecting two larger land areas with water on each side?
",Isthmus
" By what name is Domenico Theotocopuli better known?
",El Greco
" What was the 1962 space-age instrumental hit by the Tornados?
",Telstar
" Mass multiplied by velocity gives what?
",Momentum
" Which TV programme's 'experts' include Philip Munn and Christopher Payne?
",Antiques Roadshow
" What is the name given to a professional rose grower
",Rosarian
" Flora, Merryweather and King Hubert are all characters in which Disney film?
",Sleeping Beauty
" 'The Importance of Being Earnest' was written by whom?
",Oscar Wilde
" The Royal Albert Bridge at Saltash crosses which river?
",Tamar
" Which spirit is used as the base for a Mai Tai cocktail?
",Rum
" The 'Leaf' is the first mass-produced electric car for sale from which major manufacture
",Nissan
" What is the British equivalent of the American station wagon?
",Estate car
" What do we call the refraction, reflection and dispersal of the sun's rays caused by raindrops in the sky
",Rainbow
" In the Roman Catholic church what name is given to the form of prayers said on nine consecutive days?
",Novena
" What is the principal ingredient of slivovitz brandy?
",Plum
" The Prix du Jockey-Club is held at which race course?
",Chantilly
" Name the 1979 movie from its’ IMDB plot summary: “A Los Angeles Rams quarterback, accidentally taken away from his body by an over-anxious angel before he was supposed to die, comes back to life in the body of a recently-murdered millionaire.”?
",Heaven Can Wait
" Which was the first film directed by Alfred Hitchcock to star James Stewart?
",Rope
" Commonly believed to have been started by a frisky bovine owned by Patrick and Catherine O'Leary, what city was devastated by a fire that start on Oct 8, 1871 and lasted for 2 days?
",Chicago
" In Greek Mythology, which son of Demeter was the god of wealth and riches?
",Plutus
" In Norse mythology, what type of creature did the dwarf king’s son Fafnir become?
",Dragon
" On 15 May 2002, FIFA announced that which nation would host the Football (soccer) World Cup in 2010?
",South Africa
" Whose memoir was re-titled 'A Journey' shortly before its Autumn 2010 publication, because apparently the publishers were concerned that the author's chosen title 'The Journey' might seem too 'messianic' and arrogant?
",Tony Blair
" In which country was the first motorway built?
",Italy
" Thathanka Iyotake was the native name for which American tribal chief?
",Sitting Bull
" For which Rugby Union club does Owen Farrell play?
",Saracens
" ""What breakfast food gets its name from the German word for """"stirrup""""?""
",The Bagel
" Which standard unit of energy can be defined as the work required to continuously produce one watt of power for one second?
",Joule
" ""What was the name of the country in west Africa which, in 1975, was re-named """"The People's Republic of Benin""""?""
",Dahomey
" Where, apart from Australia, are monotremes found?
",New Guinea
" Which country will host the UEFA Euro team championship tournament in 2016?
",France
" """"""The Bowery"""" is a street in which US city?""
",New York
" If a dish is cooked a la hongroise it is cooked in cream and which spice
",Paprika
" With which item of clothing are Turnbull and Assers particularly associated with
",Shirts
" In 1794 in Pennsylvania, USA, more than 500 armed men attacked the fortified home of tax inspector General John Neville because of an excise tax on what product?
",Whiskey
" What U.S. state is most strongly associated with Bourbon whiskey?
",Kentucky
" Who was Brigitte Bardot’s third husband
",Gunther Sachs
" What game requires 6 hoops and 2 posts set up on a ground around 35 yards by 28 yards?
",Croquet
" At the end of The War of 1812, the USA held Canadian territory near Detroit, and the British held parts of which Eastern state?
",Maine
" Longyearbyen is the main town on which island?
",Spitsbergen
" Mount Fujiyama is in what country?
",Japan
" Welsh rugby clubs Swansea and Neath joined to form which club?
",Ospreys
" Which religious order was founded by St. Robert, Abbot of Molesme, near Dijon in 1098?
",Cistercians
" In which country would you find the rebel group FARC?
",Colombia
" What was the pseudonym of the Swiss born architect, Charles Edouard Jeanneret?
",Le corbusier
" Guillermo is the Spanish for which male name?
",William
" In information technology, for what does the L stand in LAN?
",Local
" What is the name of the famous Swannery in Dorset?
",Abbotsbury
" What nationality was golfer Bobby Locke?
",South african
" What is the state capital of Maryland?
",Annapolis
" The name for which Victorian invention is derived from the Latin for 'Darkened Chamber'?
",Camera obscura
" Which famous Vice Admiral, who died on December 7, 1817, is famous for navigating a life boat 3,618 nautical miles to the island of Timor, having been put overboard by mutineer Fletcher Christian?
",William Bligh
" What is the official language of the principality of Andorra?
",Catalan
" The Seto Inland Sea separates the three main islands of which country?
",Japan
" What was the name of the killer who carried out the horrific massacre at Hungerford?
",Michael ryan
" Which Nazi leader avoided execution after being sentenced to death at the 'Nuremburg Trials' by committing suicide hours before he was due to hang?
",Hermann goering
" Who played the title role in 1997 film George Of The Jungle?
",Brendan Fraser
" What Terry Nation concept was produced by scientist Davros from the indigenous Kaleds of the planet Skaro?
",Daleks
" In which country did Grand Duke Jean become head of state in 1964?
",Luxembourg
" Who resigned as World Bank President after failing to disprove allegations of his nepotism?
",Paul Wolfowitz
" In April 1946, Derby County beat which football team in the first FA Cup final since the end of the war?
",Charlton Athletic
" The Pushkin Prize, established in 1881, is awarded for the highest standard of literary excellence to authors from which country?
",Russia
" Which PGA golfer, considered one of the best of all times, was nicknamed ""The Golden Bear""?
",Jack Nicklaus
" In which war were the sieges of Mafeking, Kimberley and Ladysmith lifted following the arrival of reinforcement British troops under the command of Lord Kitchener and Lord Roberts?
",Boer War
" What is the most malleable metal?
",Gold
" What is the collective noun for grasshoppers
",Cloud
" Before 1991, Slovenia was part of which country?
",Yugoslavia
" The Ministry of Defence and the Foreign and Commonwealth Office?
",Whitehall
" Major Walter Wingfield is associated with which sport?
",Lawn tennis
" What was the first name of 18th Century English poet Lord Byron?
",George
" Which town is the administrative HQ of Flintshire?
",Mold
" Who sang with the Bee Gees on the 1998 top ten U.K. hit Immortality
",Celine Dion
" A 'Coney Island whitefish' is slang for a what?
",A discarded condom
" A 'Loiner' comes from which city?
",Leeds
" Who became the first Chancellor of West Germany in 1949 and was a founder of The Christian Democrats?
",Konrad adenauer
" Who did Lennox Lewis beat to become undisputed Heavyweight Champion of the World in 1999
",Evander Holyfield
" Adjusted for inflation, what is the highest grossing movie in history?
",Gone with the Wind
" As well as being a Radio 2 newsreader, who provides the voiceovers for Strictly Come Dancing and, due to his work on various lottery shows, is known as “The Voice of the Balls”?
",Alan dedicoat
" In which county is Lord's cricket ground?
",Middlesex
" What name was given to both of the Acts that united the parliaments of England and Scotand in 1707, and those of Britain and Ireland in 1800?
",Act of Union
" Who was the first boxer to win three successive Olympic Heavyweight titles?
",Teofilo Stevenson
" Which instrument was played by jazz artist Benny Goodman?
",Clarinet
" What is the name of the Editor in Chief of Wikileaks?
",Julian assange
" What type of bells are campanula
",Canterbury
" ""Writers of episodes for the UK comedy TV series """"Doctor in the House"""" (1969-70) included comic artists Graham Chapman, Barry Cryer, Graeme Garden, Bill Oddie, Bernard McKenna and who else?""
",John Cleese
" What is the name of Rose’s granddaughter in the 1997 film ‘Titanic’?
",Lizzy Calvert
" Flemish, English Cross and Garden Wall are all bonds used in what?
",Bricklaying
" Which British fashion designer created the UK television series ‘The Clothes Show’ in 1986?
",Jeff banks
" In 2009 Coca-Cola paid £30m for a minority share of which UK 'smoothie' drinks company?
",Innocent
" According to the proverb, what ‘makes a muckle’?
",Many a mickle
" Zen is which country’s form of Buddhism?
",Japan
" """"""Peggy"""" is a shortened version of what name?""
",Margaret
" If Lady is a pedigree American Cocker Spaniel, what is the name of the mongrel?
",Tramp
" In 'The Simpsons', who has two children named Tod and Rod?
",Ned Flanders
" ""Whose book """"We Need to Talk about Kevin"""" was made into a film starring Tilda Swinton?""
",Lionel Shriver
" Who did Ban Ki-Moon succeed as Secretary-General of the United Nations?
",Kofi annan
" ""Whose motto is """"Service Above Self """"?""
",Rotary international
" In heraldry, what is a wyvern?
",Dragon
" ""Who painted 'The Scapegoat', 'The Hireling Shepherd' and """"The Light of the World?""
",William Holman Hunt
" What Mexican Spanish dish means literally 'little strips'?
",Fajitas
" Psychological tests which ask standardized questions, whose answers are assessed according to fixed measures are called?
",Objective
" In which Scottish castle was Mary Stuart crowned Queen of Scots in 1543?
",Stirling
" ‘Rosie Lee’ is cockney rhyming slang for what?
",Tea
" Which US President was assassinated by John Wilkes Booth?
",Abraham Lincoln
" In 1951 and 1952, American Jim Fuchs won 88 consecutive meetings and set four world records in what sport?
",Shot put
" Which masked hero of books and films signed himself with three strokes of his sword?
",Zorro
" What, with vinegar, is added to egg yolk to make mayonnaise?
",(Olive) Oil
" In which British city is Meadowhall railway Station?
",Sheffield
" In what country would you be most likely to find a polder?
",Netherlands
" In which European country did the Industrial Revolution begin in the 18th Century?
",United Kingdom
" In the cartoon Roobarb and Custard, what colour is Custard?
",Pink
" Which TV series had characters called Dougal, Zebedee, Brian, Ermintrude, Dylan, Florence and Mr Rusty?
",The Magic Roundabout
" What did Franz Kafka do for a day job?
",Worked in insurance
" In which game would you use a wooden ball called a cochonnet?
",Boules
" In September 2011, who became the oldest living artist to have a number one album, with Duets II, in the US charts?
",Tony Bennett
" In psychology the (positive) 'Pygmalion effect' and opposite (negative) 'Golem effect' influence people by?
",Expectation
" In which country is the Nullabor Plain?
",Australia
" Which US city is served by McCarran Airport?
",Las Vegas
" Which opera features a 'Prisoner's Chorus'?
",Fidelio
" Who played the lawyer Tom Hagen in the film the Godfather?
",Robert duvall
" On which street would you find the New York Stock Exchange?
",Wall Street
" What nationality is the US Open 2013 winner Martin Kaymer?
",German
" Athlete Francis Morgan Thompson is better known by what name?
",Daley Thompson
" Where, theoretically, might one find objects squeezed to an infinite density?
",Black Hole
" What was the name of the character played by Michael J Fox in the Back To The Future series of films
",Marty McFly
" The Egyptian god Anubis had the head of which animal?
",Jackal
" The Royal family of which country is named Bernadotte?
",Sweden
" What creature appears in the coat of arms of Berlin?
",Bear
" In 1951, Jean Lee was the last woman to be executed in which country?
",Australia
" If a medical condition is pulmonary, what part of the body does it affect?
",Lungs
" Urquhart castle in Scotland overlooks which famous stretch of water?
",Loch Ness
" In the 1977 film ‘The Eagle Has Landed’, which political figure is the target of a kidnap plot?
",Winston Churchill
" A Muscovite refers to a native of where in the world?
",Moscow
" What is the name of the longest bone in the upper arm?
",Humerus
" Whose relationships have been the subject of speculation in the celebrity press, and has been romantically linked with Jennifer Love Hewitt, Heidi Klum, Jessica Simpson, Minka Kelly and Jennifer Aniston?
",John Mayer
" What are the Hugo and Nebula awards given for?
",Science Fiction Writing
" What is Superman's achilles heel?
",Kryptonite
" Which reality television programme was won by Natalie Coleman in 2013?
",Masterchef
" What is the theatrical equivalent of an Oscar
",Tony
" Who was the first Children’s Laureate?
",Quentin Blake
" Who is the former Formula 1 racing driver who won a Paralympics Cycling Gold Medal at London 2012?
",Alex Zanardi
" In science, what is the S.I unit of energy?
",Joule
" Which country had, at various times, included areas known at various times as Bosnia, Herzegovina, Croatia, Macedonia, Montenegro, Slovenia, Serbia, Vojvodina, Kosovo, Istria and Rijeka?
",Yugoslavia
" Who was nicknamed 'Queen of the Blues', but was later elevated to 'Empress'?
",Bessie Smith
" What bodily process breaks food down into nutrients?
",Digestion
" What were solicitors in the U.K. allowed to do for the first time in 1984
",Advertise
" ""What science features in """"The Man In The White Suit"""", a 1951 film starring Alec Guinness?""
",Chemistry
" ""What was the name that US President Franklin D. Roosevelt gave to his package of economic programs in the mid 1930's with the goals of """"the 3 R's"""": Relief to the unemployed & farmers, Reform of business and financial practices, and Recovery of the economy?""
",The New Deal
" With which song did Pharrell Williams top the charts in ten countries in 2013?
",Happy
" What is the name of the upright member fitted into the back of a chair
",A splat
" Which royal house succeeded the Tudors?
",Stuart
" Who won golf's 2010 Masters Championship?
",Phil Mickelson
" The song 'White Christmas' first featured in what film?
",Holiday Inn
" What word can refer either to trash or a type of Chinese ship?
",Junk
" Who bought Channel 5 TV in the UK, resisting objections that his pornography interests made him unsuitable?
",Richard Desmond
" In which Dutch town or city will you find the Peace Palace?
",The hague
" Which town in Buckinghamshire is famous for its annual 'pancake race'?
",Olney
" In which country is the Vatnajokull Glacier, covering 8% of its land, and the largest ice cap by volume in Europe?
",Iceland
" The aurochs is a wild ancestor of which domesticated animal?
",Cattle
" Who was the father of British monarch King Edward VI?
",Henry VIII
" ‘Never Have Your Dog Stuffed and Other Things I’ve Learned’ is a 2005 autobiography by which US actor?
",Alan Alda
" The commander Subutai who is credited with conquering more territory than any other commander in history fought for which empire?
",Mongol
" Which Cambridgeshire town shares its name with a month of the year?
",March
" Which pop artist won the Oscar for the best original song for Skyfall in 2013?
",Adele
" Which post in the UK did Rowan Williams take up in February 2003?
",Archbishop of Canterbury
" John McEnroe was born in which country?
",Germany
" To which island paradise in Celtic mythology was King Arthur taken after his death?
",Avalon
" Which Greek mathematician, from the 1st century BC, is best known for the theorem which bears his name and for leading a group who discovered square numbers and proposed that the earth was round, planets have an axis, and they travel around the sun?
",Pythagoras
" Sir Sidney Holland was Prime Minister of which Commonwealth country, between 1949 and 1957?
",New zealand
" Who sang the theme tune to the James Bond film 'Goldeneye'?
",Tina Turner
" In which country is the city of Derry?
",Northern Ireland
" Who is the British astrophysicist who announced Einstein's Theory of General Relativity to the English-speaking world in 1919?
",Arthur Eddington
" Baumwolle is the German word for which fabric?
",Cotton
" Listed at number 96 in the Periodic Table, which chemical element has the symbol Cm?
",Curium
" In 'The Box of Delights', the Bishop of Tatchester is rescued from his abductors in time for Christmas - who is the author?
",John Masefield
" What is usually added to Pernod before it is drank by the French
",Water
" What type of drink did the British take in India as ananti- malarial?
",Tonic water
" Which of his children did Michael Jackson famously hang over a hotel balcony?
",Blanket
" Of which African country is Malabo the capital?
",Equatorial guinea
" Which Mesoamerican culture worshipped the feathered serpent known as Quetzalcoatl?
",Aztecs
" ""Tony Kushner wrote the award-winning play """"Angels in...?""
",America
" Which pop group took their name from the Gaelic word for family?
",Clannad
" What is the currency of Algeria?
",Dinar
" Published in 2013 Mad About the Boy is the third book about which character who is then 51 and a widow with two children?
",Bridget Jones
" What type of weapon is carried by Thor?
",Hammer
" Who presents the TV quiz show The People Versus
",Kaye Adams
" Where in the body would you find rod cells and cone cells
",In the eye
" ""What Japanese dish is described as """"beef and vegetables in soy sauce"""" ?""
",Sukiyaki
" What country occupied Ethiopia between 1936 and 1941?
",Italy
" The Union of Myanmar, capital Rangoon, is traditionally (in the 'west') called what country?
",Burma
" Bridgeport is the largest city by population in which US state?
",Connecticut
" Anne Geddes, an Australian-born photographer and clothing designer, is known for her stylized depictions of what?
",Babies and motherhood
" Which rugby league club played at Thrum Hall between 1886 and 1998?
",Halifax
